Insertion,time [s],iterations,energy [Wh],,"0,27"
5m,300,,"0,02",,
10m,600,,"0,04",,
15m,900,,"0,07",,
20m,1200,,"0,09",,
30m,1800,,"0,13",,
45m,2700,,"0,20",,
1h,3600,,"0,27",,
,55,25.000,,,
,110,50.000,,,
,221,100.000,,,
,331,150.000,,,
,442,200.000,,,
,552,250.000,,,
,663,300.000,,,
,773,350.000,,,
,884,400.000,,,
,995,450.000,,,
,1105,500.000,,,
,1216,550.000,,,
,1326,600.000,,,
,1437,650.000,,,
,1547,700.000,,,
,1658,750.000,,,
,1769,800.000,,,
,1879,850.000,,,
,1990,900.000,,,
,2100,950.000,,,
,2211,1.000.000,,,
,2321,1.050.000,,,
,2432,1.100.000,,,
,2543,1.150.000,,,
,2653,1.200.000,,,
,2764,1.250.000,,,
,2874,1.300.000,,,
,2985,1.350.000,,,
,3095,1.400.000,,,
,3206,1.450.000,,,
,3317,1.500.000,,,
,3427,1.550.000,,,
,3538,1.600.000,,,
,3648,1.650.000,,,
