Insertion,time [s],iterations,energy [Wh]
5m,300,,"0,02"
10m,600,,"0,04"
15m,900,,"0,06"
20m,1.200,,"0,09"
30m,1.800,,"0,13"
45m,2.700,,"0,20"
1h,3.600,,"0,27"
,241,2.000,
,361,3.000,
,481,4.000,
,602,5.000,
,722,6.000,
,843,7.000,
,963,8.000,
,1.084,9.000,
,1.204,10.000,
,1.325,11.000,
,1.445,12.000,
,1.566,13.000,
,1.686,14.000,
,1.807,15.000,
,1.927,16.000,
,2.048,17.000,
,2.168,18.000,
,2.289,19.000,
,2.409,20.000,
,2.530,21.000,
,2.650,22.000,
,2.771,23.000,
,2.891,24.000,
,3.012,25.000,
,3.132,26.000,
,3.252,27.000,
,3.373,28.000,
,3.493,29.000,
,3.614,30.000,
,3.734,31.000,
,3.855,32.000,
,3.976,33.000,
,4.096,34.000,
